Learning language,Translation
I don't understand,nie rozumiem
It doesn't work,nie działa
I have no time,nie mam czasu
I need help,potrzebuję pomocy
Where is it,gdzie to jest
How much is it,ile to kosztuje
I agree,zgadzam się
I disagree,nie zgadzam się
It's important to me,to dla mnie ważne
No problem,nie ma problemu
I am tired,jestem zmęczony
I am hungry,jestem głodny
I am thirsty,jestem spragniony
I am in a hurry,spieszę się
I am late,spóźniam się
I am early,jestem wcześnie
It's clear to me,jest to dla mnie jasne
It's not clear to me,nie jest to dla mnie jasne
I remember,pamiętam
I don't remember,nie pamiętam
I am waiting for you,czekam na ciebie
I will return tomorrow,wrócę jutro
I need to think,muszę pomyśleć
Give me a moment,daj mi chwilę
Can I help you,czy mogę pomóc
Explain again,wyjaśnij jeszcze raz
It's okay,w porządku
It's not okay,to nie w porządku
I understand now,teraz rozumiem
I have no idea,nie mam pojęcia
I'm sure,jestem pewien
I'm not sure,nie jestem pewien
It depends,to zależy
Let's start,zacznijmy
We'll finish later,skończymy później